Contacted?,Result?,County,School,Entity Type,Website,Phone,Phone Extension,Email,Administrator Name,Administrator Phone,Administrator Phone Ext.,PTO Contact Name,PTO Contact Number,PTO Contact Email,Notes
FALSE,,Los Angeles,Jardin de la Infancia,Elementary Schools (Public),http://jardindelainfancia.wixsite.com/website,(213) 614-1745,No Data,jardindelainfancia@me.com,Zuzy Chavez,No Data,No Data,,,,
FALSE,,Los Angeles,KIPP Sol Academy,Intermediate/Middle Schools (Public),https://www.kippsocal.org/sol/index,(323) 800-5220,No Data,amartinez@kippsocal.org,Karla Davalos,No Data,No Data,,,,
FALSE,,Los Angeles,"Kirby, Dorothy Camp",Juvenile Court Schools,No Data,(323) 263-5106,No Data,carranza_ruben@lacoe.edu,Ruben Carranza,(323) 263-5106,No Data,,,,
FALSE,,Los Angeles,L.A. County High School for the Arts,Opportunity Schools,www.lachsa.net,(323) 343-2550,No Data,vartanian_tina@lacoe.edu,Tina Vartanian,(323) 343-2553,No Data,,,,
FALSE,,Los Angeles,Lashon Academy,Elementary Schools (Public),http://lashonacademy.org,(818) 514-4566,No Data,enroll@lashonacademy.org,Sara Garcia,(818) 514-4566,No Data,,,,
FALSE,,Los Angeles,Lashon Academy City,Elementary Schools (Public),www.lashonacademy.org,(818) 514-4566,No Data,josh@lashonacademy.org,Sara Garcia,(818) 514-4566,No Data,,,,
FALSE,,Los Angeles,Los Angeles Leadership Academy,K-12 Schools (Public),www.laleadership.org,(323) 227-7719,No Data,agoldring@laleadership.org,Nereida Lopez,(213) 381-8484,No Data,,,,
FALSE,,Los Angeles,Los Padrinos Juvenile Hall,Juvenile Court Schools,No Data,(562) 803-6648,No Data,calhoun_alane@lacoe.edu,Alane Calhoun,(562) 922-6239,No Data,,,,
FALSE,,Los Angeles,Luminar Prep Academy,High Schools (Private),luminarprepacademy.org,(702) 930-1679,No Data,tascianwms@gmail.com,Mary williams,No Data,No Data,,,,
FALSE,,Los Angeles,Magnolia Science Academy,K-12 Schools (Public),https://msal.magnoliapublicschools.org,(818) 609-0507,No Data,bplonka@magnoliapublicschools.org,Brad Plonka,No Data,No Data,,,,
FALSE,,Los Angeles,Magnolia Science Academy 2,K-12 Schools (Public),http://msa2.magnoliapublicschools.org,(818) 758-0300,No Data,sbudhraja@magnoliapublicschools.org,Irene Gavi,No Data,No Data,,,,
FALSE,,Los Angeles,Magnolia Science Academy 3,K-12 Schools (Public),http://msa3.magnoliapublicschools.org,(310) 637-3806,No Data,erizzuto@magnoliapublicschools.org,Elizabeth Rizzuto,No Data,No Data,,,,
FALSE,,Los Angeles,Magnolia Science Academy 5,K-12 Schools (Public),http://msa5.magnoliapublicschools.org/,(818) 705-5676,No Data,msa5@magnoliapublicschools.org,Ali Kaplan,(818) 705-5676,No Data,,,,
FALSE,,Los Angeles,"Nidorf SYTF, Barry J.",Juvenile Court Schools,No Data,(818) 367-5942,No Data,whitaker_bridget@lacoe.edu,Bridget Whitaker,(818) 367-5941,No Data,,,,
FALSE,,Los Angeles,Odyssey Charter,Elementary Schools (Public),www.odysseycharterschool.org,(626) 229-0993,No Data,anaa@ocsmail.org,Carlos Garcia Saldana,(626) 229-0993,No Data,,,,
FALSE,,Los Angeles,Renaissance County Community,County Community,www.lacoe.edu,(310) 970-9910,No Data,gonzalez_adrian@lacoe.edu,Adrian Gonzalez,(310) 970-9910,No Data,,,,
FALSE,,Los Angeles,Road to Success Academy at Campus Kilpatrick SDF,Juvenile Court Schools,No Data,(818) 889-1225,No Data,whitaker_bridget@lacoe.edu,Bridget Whitaker,(818) 879-6111,No Data,,,,
FALSE,,Los Angeles,"Rockey, Glenn Camp",Juvenile Court Schools,No Data,(909) 599-8435,No Data,sarrategui_susan@lacoe.edu,Susan Sarrategui,(909) 549-8435,No Data,,,,
FALSE,,Los Angeles,Soleil Academy Charter,Elementary Schools (Public),www.soleilacademy.org,(323) 409-0801,No Data,bgutierrez@soleilacademy.org,Beatriz Gutierrez,(323) 409-0801,No Data,,,,
FALSE,,Los Angeles,The SEED School of Los Angeles County,High Schools (Public),http://seedschoolla.org,(323) 843-6700,No Data,wscott@seedfoundation.com,Jubria Lewis,(202) 705-8718,No Data,,,,
FALSE,,Los Angeles,Westbrook Academy,K-12 Schools (Public),www.westbrookacademy.org,(213) 745-4928,No Data,info@lapromisefund.org,Liliana Vasquez,(213) 745-4928,No Data,,,,
FALSE,,Los Angeles,Los Angeles County ROP,ROC/ROP,No Data,(562) 922-6850,No Data,benavides_jimmy@lacoe.org,Jimmy Benavides,No Data,No Data,,,,
FALSE,,Los Angeles,ABC Little School,Elementary School (Private),No Data,(818) 786-0301,No Data,abcschool1122@yahoo.com,GINA NOGALES,No Data,No Data,,,,
FALSE,,Los Angeles,Abraham Joshua Heschel Day School,Elementary School (Private),www.heschel.com,(818) 368-5781,No Data,sarah.schultz@heschel.com,Sarah Schultz,No Data,No Data,,,,
FALSE,,Los Angeles,Abraham Lincoln Senior High,High Schools (Public),http://lincolnhs.org,(323) 441-4600,No Data,mxt1070@lausd.net,Martha Gomez,No Data,No Data,,,,
FALSE,,Los Angeles,Abram Friedman Occupational,Adult Education Centers,No Data,(213) 765-2400,No Data,rxr1167@lausd.net,Refugio Rios,No Data,No Data,,,,
FALSE,,Los Angeles,Academia Moderna,Elementary Schools (Public),https://academiamoderna.org/,(323) 923-0383,No Data,x.reyes@altaps.org,Rachel Villalobos,No Data,No Data,,,,
FALSE,,Los Angeles,Academies of Education and Empowerment at Carson High,High Schools (Public),http://carsonempowerhs.lausd.org,(310) 847-1455,No Data,eric.fitzpatrick@lausd.net,Eric Fitzpatrick,No Data,No Data,,,,
FALSE,,Los Angeles,Academy for Advancement of Children With Autism,K-12 Schools (Private),www.autismacademy.org,(818) 882-0200,No Data,lmichelle@autismacademy.org,Lori Strickland,No Data,No Data,,,,
FALSE,,Los Angeles,Academy for Enriched Sciences,Elementary Schools (Public),aes.lausd.org,(818) 609-8421,No Data,ajp3241@lausd.net,Amy Petry,No Data,No Data,,,,
FALSE,,Los Angeles,Academy of Medical Arts at Carson High,High Schools (Public),http://carsonmedicalhs.lausd.org,(310) 847-1460,No Data,amarti51@lausd.net,Aracely Martinez,No Data,No Data,,,,
FALSE,,Los Angeles,Accelerated,Elementary Schools (Public),www.accelerated.org/our-schools/tas/,(323) 235-6343,No Data,lhilarides@accelerated.org,Lucy Hilarides,No Data,No Data,,,,
FALSE,,Los Angeles,Accelerated Charter Elementary,Elementary Schools (Public),www.accelerated.org/our-schools/aces/,(323) 846-6694,No Data,cramos@accelerated.org,Carmen Rios,No Data,No Data,,,,
FALSE,,Los Angeles,Achievers Academy Preschool,Elementary School (Private),https://www.achieversacademypreschool.com,(818) 830-8123,No Data,nps@cde.ca.gov,Priscilla Rivera,No Data,No Data,,,,
FALSE,,Los Angeles,Acton Academy Venice Beach,Elementary School (Private),www.actonvenice.org,(312) 498-9872,No Data,nps@cde.ca.gov,Danelle Foltz-Smith,No Data,No Data,,,,
FALSE,,Los Angeles,Adult Education Virtual Academy,Adult Education Centers,http://launifiedadult.org,(213) 241-3813,No Data,bsg6314@lausd.net,Bernardine Gonzalez,No Data,No Data,,,,
FALSE,,Los Angeles,AGBU Manoogian-Demirdjian,K-12 Schools (Private),www.agbumds.org,(818) 883-2428,No Data,larmani@agbumds.org,Lara Armani,No Data,No Data,,,,
FALSE,,Los Angeles,Aggeler Community Day,District Community Day Schools,aggelerchs.lausd.org,(818) 341-1232,No Data,jortiz13@lausd.net,Juan Ortiz,No Data,No Data,,,,
FALSE,,Los Angeles,Al Falaq Meraj Academy,Elementary School (Private),www.merajacademy.org,(818) 886-5831,No Data,nps@cde.ca.gov,Reham Rabie,No Data,No Data,,,,
FALSE,,Los Angeles,Alain Leroy Locke College Preparatory Academy,High Schools (Public),https://greendot.org/locke/,(323) 420-2170,No Data,lck.cde@greendot.org,Belen Ramirez Mariscal,No Data,No Data,,,,
FALSE,,Los Angeles,Albert Einstein Continuation,Continuation High Schools,einsteinchs.lausd.org,(818) 892-4367,No Data,fja8210@lausd.net,Flor Ayala,No Data,No Data,,,,
FALSE,,Los Angeles,Albion Street Elementary,Elementary Schools (Public),albionstes.lausd.org,(323) 221-3108,No Data,elvira.juarez@lausd.net,Elvira Juarez,No Data,No Data,,,,
FALSE,,Los Angeles,Aldama Elementary,Elementary Schools (Public),http://aldamaes.lausd.org,(323) 255-1434,No Data,lpt4421@lausd.net,Lorena Toledo,No Data,No Data,,,,
FALSE,,Los Angeles,Alexander Fleming Middle,Intermediate/Middle Schools (Public),https://flemingms.org,(310) 257-4500,No Data,didiana.ramirez@lausd.net,Didiana Ramirez,No Data,No Data,,,,
FALSE,,Los Angeles,Alexander Hamilton Senior High,High Schools (Public),hamiltonhs.org,(310) 280-1400,No Data,jag4588@lausd.net,Jennifer Baxter,No Data,No Data,,,,
FALSE,,Los Angeles,Alexandria Avenue Elementary,Elementary Schools (Public),alexandriaes.lausd.org,(323) 660-1936,No Data,lxg9107@lausd.net,Luis Gadea,No Data,No Data,,,,
FALSE,,Los Angeles,Alfonso B. Perez Special Education Center,Special Education Schools (Public),perezctc.org,(323) 269-0681,No Data,mxh0774@lausd.net,Manuela Hernandez,No Data,No Data,,,,
FALSE,,Los Angeles,Alfred B. Nobel Charter Middle,Intermediate/Middle Schools (Public),http://nobelms.com,(818) 773-4700,No Data,dhorowit@lausd.net,Derek Horowitz,(818) 773-4700,No Data,,,,
FALSE,,Los Angeles,Allesandro Elementary,Elementary Schools (Public),allesandroes.lausd.org,(323) 666-7162,No Data,dean.simpson@lausd.net,Dean Simpson,No Data,No Data,,,,
FALSE,,Los Angeles,Alliance Cindy and Bill Simon Technology Academy High,High Schools (Public),http://simontechnology.org,(323) 744-2122,No Data,jdelgado@laalliance.org,Alberto Oros,No Data,No Data,,,,
FALSE,,Los Angeles,Alliance College-Ready Middle Academy 12,Intermediate/Middle Schools (Public),http://crma12.org,(323) 238-7270,No Data,dhall@laalliance.org,Deitric Hall,No Data,No Data,,,,
FALSE,,Los Angeles,Alliance College-Ready Middle Academy 4,Intermediate/Middle Schools (Public),http://crma4.org,(323) 451-3009,No Data,jtsai@laalliance.org,Jarred Tsai,No Data,No Data,,,,
FALSE,,Los Angeles,Alliance College-Ready Middle Academy 8,Intermediate/Middle Schools (Public),http://crma8.org,(323) 269-2156,No Data,ymkim@laalliance.org,Young Kim,No Data,No Data,,,,
FALSE,,Los Angeles,Alliance Collins Family College-Ready High,High Schools (Public),http://collinsfamilyjaguars.org,(323) 923-1588,No Data,bsolares@laalliance.org,Robert Delfino,No Data,No Data,,,,
FALSE,,Los Angeles,Alliance Dr. Olga Mohan High,High Schools (Public),http://mohanhs.org,(213) 342-2870,No Data,mdeford@laalliance.org,Matthew Deford,No Data,No Data,,,,
FALSE,,Los Angeles,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,K-12 Schools (Public),http://gertzresslerhigh.org,(213) 745-8141,No Data,gbraude@laalliance.org,Gwendolyn Braude,No Data,No Data,,,,
FALSE,,Los Angeles,Alliance Jack H. Skirball Middle,Intermediate/Middle Schools (Public),http://skirballmiddle.org,(323) 905-1377,No Data,vreyes@laalliance.org,Jamal Richardson,No Data,No Data,,,,
FALSE,,Los Angeles,Alliance Judy Ivie Burton Technology Academy High,High Schools (Public),https://www.burtontech.org/,(323) 920-6125,No Data,sguerrero@laalliance.org,Rogelio Sanchez,No Data,No Data,,,,
FALSE,,Los Angeles,Alliance Kory Hunter Middle,Intermediate/Middle Schools (Public),https://www.koryhunterms.org,(323) 484-0450,No Data,astdiaz@laalliance.org,Abeni Johnson,No Data,No Data,,,,
FALSE,,Los Angeles,Alliance Leichtman-Levine Family Foundation Environmental Science High,High Schools (Public),www.llesat.org,(323) 739-0560,No Data,kruiz@laalliance.org,Talin Darkjian,No Data,No Data,,,,
FALSE,,Los Angeles,Alliance Marc & Eva Stern Math and Science,High Schools (Public),http://sternmass.org,(323) 987-2144,No Data,mescamilla@laalliance.org,Veronica Elias,No Data,No Data,,,,
FALSE,,Los Angeles,Alliance Margaret M. Bloomfield Technology Academy High,High Schools (Public),http://bloomfieldhs.org,(323) 537-2060,No Data,rsolares@laalliance.org,Vanessa Sandoval,No Data,No Data,,,,
FALSE,,Los Angeles,Alliance Marine - Innovation and Technology 6-12 Complex,K-12 Schools (Public),www.alliancemit.org,(747) 223-2649,No Data,lperez@laalliance.org,Jonathan Tiongco,No Data,No Data,,,,
FALSE,,Los Angeles,Alliance Morgan McKinzie High,High Schools (Public),www.mckinziehs.org,(323) 526-8198,No Data,rmenendez@laalliance.org,Rosa Menendez,No Data,No Data,,,,
FALSE,,Los Angeles,Alliance Ouchi-O'Donovan 6-12 Complex,K-12 Schools (Public),http://ouchihs.org,(323) 596-2290,No Data,zperkins@laalliance.org,Zachary Perkins,No Data,No Data,,,,
FALSE,,Los Angeles,Alliance Patti And Peter Neuwirth Leadership Academy,High Schools (Public),www.neuwirthleadership.org,(213) 342-2874,No Data,egriffith@laalliance.org,Candice Dagnino,No Data,No Data,,,,
FALSE,,Los Angeles,Alliance Piera Barbaglia Shaheen Health Services Academy,High Schools (Public),www.pbshsa.org,(323) 972-9010,No Data,cbostock@laalliance.org,Chris Bostock,No Data,No Data,,,,
FALSE,,Los Angeles,Alliance Renee and Meyer Luskin Academy High,High Schools (Public),http://luskinacademy.org,(323) 905-1210,No Data,ceromero@laalliance.org,Amy Lozano,No Data,No Data,,,,
FALSE,,Los Angeles,Alliance Susan and Eric Smidt Technology High,High Schools (Public),http://smidttech.org,(323) 352-3206,No Data,cbostock@laalliance.org,Chris Bostock,No Data,No Data,,,,
FALSE,,Los Angeles,Alliance Ted K. Tajima High,High Schools (Public),www.tajimahigh.org,(213) 241-8533,No Data,bkariuki@laalliance.org,Bryan Kariuki,No Data,No Data,,,,
FALSE,,Los Angeles,Alliance Virgil Roberts Leadership Academy,Intermediate/Middle Schools (Public),www.avrlacademy.org,(323) 920-4388,No Data,bgomez@laalliance.org,Toria Avila,No Data,No Data,,,,
FALSE,,Los Angeles,Alta California Elementary,Elementary Schools (Public),altacaliforniaelementary.org,(818) 830-4400,No Data,jab0459@lausd.net,Jose Benitez,No Data,No Data,,,,
FALSE,,Los Angeles,Alta Loma Elementary,Elementary Schools (Public),altalomaes.lausd.org,(323) 939-2113,No Data,heather.mura@lausd.net,Heather Mura,No Data,No Data,,,,
FALSE,,Los Angeles,Amanecer Primary Center,Elementary Schools (Public),amanecerpc.lausd.org,(323) 264-6494,No Data,cmg5277@lausd.net,Christina Garcia,No Data,No Data,,,,
FALSE,,Los Angeles,Ambassador School-Global Education,Elementary Schools (Public),asge.lausd.org,(213) 480-4520,No Data,cjun1@lausd.net,Catalina Hwang,No Data,No Data,,,,
FALSE,,Los Angeles,Ambassador-Global Leadership,K-12 Schools (Public),http://asgl.lausd.org,(213) 480-4540,No Data,ksohn@lausd.net,Katelynne Sohn,No Data,No Data,,,,
FALSE,,Los Angeles,Ambler Avenue Elementary,Elementary Schools (Public),http://ambleravees.lausd.org,(310) 532-4090,No Data,sfa3432@lausd.net,Stephanie Austin,No Data,No Data,,,,
FALSE,,Los Angeles,Amelia Earhart Continuation,Continuation High Schools,earhartchs.lausd.org,(818) 769-4877,No Data,ssara1@lausd.net,Sixto Saravia,No Data,No Data,,,,
FALSE,,Los Angeles,American Unified School of Technology,High Schools (Private),www.austc.us,(747) 327-8184,No Data,admission@austc.us,M.A. Wahab,No Data,No Data,,,,
FALSE,,Los Angeles,Amestoy Elementary,Elementary Schools (Public),http://amestoyes.lausd.org,(310) 327-5592,No Data,ald0544@lausd.net,Amy Davis,No Data,No Data,,,,
FALSE,,Los Angeles,Anahuacalmecac International University Preparatory of North America,K-12 Schools (Public),www.anawakalmekak.org,(323) 352-3148,No Data,sembrador@dignidad.org,Marcos Aguilar,(323) 352-3148,No Data,,,,
FALSE,,Los Angeles,Anapasec Adventures,K-12 Schools (Private),No Data,Information Redacted,No Data,lakeemcisco@gmail.com,Lakeem Cisco,No Data,No Data,,,,
FALSE,,Los Angeles,Anatola Avenue Elementary,Elementary Schools (Public),anatolaavees.lausd.org,(818) 343-8733,No Data,jhall7@lausd.net,Jennifer Stone,No Data,No Data,,,,
FALSE,,Los Angeles,Andasol Avenue Elementary,Elementary Schools (Public),andasolavees.lausd.org,(818) 349-8631,No Data,vvg8162@lausd.net,Veronica Gonzalez,No Data,No Data,,,,
FALSE,,Los Angeles,Andres and Maria Cardenas Elementary,Elementary Schools (Public),cardenases.lausd.org,(818) 908-6700,No Data,dmm8990@lausd.net,Dinora Mendoza,No Data,No Data,,,,
FALSE,,Los Angeles,Andrew Carnegie Middle,Intermediate/Middle Schools (Public),www.carnegiems.org,(310) 952-5700,No Data,jtorre20@lausd.net,Jenaro Torres,No Data,No Data,,,,
FALSE,,Los Angeles,Angel's Gate (Continuation),Continuation High Schools,angelsgatechs.lausd.org,(310) 221-4600,No Data,paul.valanis@lausd.net,Paul Valanis,No Data,No Data,,,,
FALSE,,Los Angeles,Angeles Mesa Elementary,Elementary Schools (Public),angelesmesaes.lausd.org,(323) 294-5103,No Data,regina.myles@lausd.net,Regina Myles,No Data,No Data,,,,
FALSE,,Los Angeles,Angeles Workshop School,K-12 Schools (Private),angelesworkshop.com,(562) 441-8802,No Data,nps@cde.ca.gov,Scott Stubbe,No Data,No Data,,,,
FALSE,,Los Angeles,Animo Ellen Ochoa Charter Middle,Intermediate/Middle Schools (Public),http://ca.greendot.org/ochoa,(323) 565-3245,No Data,aeo.cde@greendot.org,Naima Otero,No Data,No Data,,,,
FALSE,,Los Angeles,Animo Florence-Firestone Charter Middle,Intermediate/Middle Schools (Public),http://ca.greendot.org/florence-firestone/,(323) 565-3280,No Data,flo.cde@greendot.org,Joshua Hartford,(323) 565-1600,No Data,,,,
FALSE,,Los Angeles,Animo Jackie Robinson High,High Schools (Public),http://ca.greendot.org/jackierobinson/,(323) 846-5800,No Data,rob.cde@greendot.org,Kristine Botello,No Data,No Data,,,,
FALSE,,Los Angeles,Animo James B. Taylor Charter Middle,Intermediate/Middle Schools (Public),http://ca.greendot.org/taylor,(323) 568-8613,No Data,jam.cde@greendot.org,Tiana Diggs,No Data,No Data,,,,
FALSE,,Los Angeles,Animo Jefferson Charter Middle,Intermediate/Middle Schools (Public),http://ca.greendot.org/jefferson,(323) 232-1857,No Data,jms.cde@greendot.org,Edgar Flota,No Data,No Data,,,,
FALSE,,Los Angeles,Animo Legacy Charter Middle,Intermediate/Middle Schools (Public),http://ca.greendot.org/legacy,(323) 600-6000,No Data,lgc.cde@greendot.org,Jasmia Newman,No Data,No Data,,,,
FALSE,,Los Angeles,Animo Mae Jemison Charter Middle,Intermediate/Middle Schools (Public),http://ca.greendot.org/jemison,(323) 565-4450,No Data,mae.cde@greendot.org,Melissa Russel,No Data,No Data,,,,
FALSE,,Los Angeles,Animo Pat Brown,High Schools (Public),http://ca.greendot.org/patbrown,(323) 585-3312,No Data,brw.cde@greendot.org,Brian Thomas-Reed,No Data,No Data,,,,
FALSE,,Los Angeles,Animo Ralph Bunche Charter High,High Schools (Public),http://ca.greendot.org/ralphbunche/,(323) 232-9436,No Data,bun.cde@greendot.org,Xochitl Avellan,(323) 232-9436,No Data,,,,
FALSE,,Los Angeles,Animo South Los Angeles Charter,High Schools (Public),http://ca.greendot.org/southla,(323) 779-0544,No Data,sla.cde@greendot.org,Nyesha Philpot,No Data,No Data,,,,
FALSE,,Los Angeles,Animo Venice Charter High,High Schools (Public),http://ca.greendot.org/venice,(310) 392-8751,No Data,ven.cde@greendot.org,Mack Mossett,No Data,No Data,,,,
FALSE,,Los Angeles,Animo Watts College Preparatory Academy,High Schools (Public),http://ca.greendot.org/watts,(323) 756-3930,No Data,wat.cde@greendot.org,Ifeoluwa Oyedele,No Data,No Data,,,,
FALSE,,Los Angeles,Ann Street Elementary,Elementary Schools (Public),http://annstes.lausd.org,(323) 221-3194,No Data,fbaird@lausd.net,Forrest Baird,No Data,No Data,,,,
FALSE,,Los Angeles,Annalee Avenue Elementary,Elementary Schools (Public),annaleeavees.lausd.org,(310) 537-4740,No Data,ems9856@lausd.net,Emily Barbee,No Data,No Data,,,,
FALSE,,Los Angeles,Annandale Elementary,Elementary Schools (Public),annandalees.lausd.org,(323) 254-9168,No Data,vvega1@lausd.net,Veronica Vega,No Data,No Data,,,,
FALSE,,Los Angeles,Apperson Street Elementary,Elementary Schools (Public),http://appersonstes.lausd.org,(818) 353-5544,No Data,rkim1@lausd.net,Ruth Kim,No Data,No Data,,,,
FALSE,,Los Angeles,Aragon Avenue Elementary,Elementary Schools (Public),aragonavees.lausd.org,(323) 221-5173,No Data,cmv5406@lausd.net,Claudia Vela,No Data,No Data,,,,
FALSE,,Los Angeles,Ararat Charter,Elementary Schools (Public),http://araratcharterschool.com,(818) 994-2904,No Data,cleatherman@edtec.com,Aida Tatiossian,No Data,No Data,,,,
FALSE,,Los Angeles,Argo Navis School,Elementary School (Private),www.theargoschool.com,(323) 447-5437,No Data,nps@cde.ca.gov,Paul Conway,No Data,No Data,,,,
FALSE,,Los Angeles,Aristotle Academy,K-12 Schools (Private),No Data,Information Redacted,No Data,zolastasos@gmail.com,Anastasios Zolas,No Data,No Data,,,,
FALSE,,Los Angeles,Arleta High,High Schools (Public),arletahigh.net,(818) 686-4100,No Data,asauc1@lausd.net,Ana Saucedo,No Data,No Data,,,,
FALSE,,Los Angeles,Arlington Heights Elementary,Elementary Schools (Public),http://arlingtones.lausd.org,(323) 735-1021,No Data,mdm1536@lausd.net,Melody Morris,No Data,No Data,,,,
FALSE,,Los Angeles,Arminta Street Elementary,Elementary Schools (Public),armintastes.lausd.org,(818) 765-5911,No Data,rrami4@lausd.net,Rene Ramirez,No Data,No Data,,,,
FALSE,,Los Angeles,Arroyo Seco Museum Science,Alternative Schools of Choice,arroyoseco.lausd.org,(323) 254-5141,No Data,ismael.berver@lausd.net,Ismael Berver,No Data,No Data,,,,
FALSE,,Los Angeles,Arts In Action Community Charter,Elementary Schools (Public),http://artsinactioncharter.org,(323) 266-4371,No Data,kalinb@artsinactioncharter.org,Kalin Balcomb,No Data,No Data,,,,
FALSE,,Los Angeles,Arts in Action Community Middle,Intermediate/Middle Schools (Public),www.artsinactioncharter.org,(323) 266-4371,1009,kalinb@artsinactioncharter.org,Kalin Balcomb,No Data,No Data,,,,
FALSE,,Los Angeles,Ascension Elementary Catholic,Elementary School (Private),http://www.ascensionschoolla.org/,(323) 756-4064,No Data,nps@cde.ca.gov,Dalia Perez,No Data,No Data,,,,
FALSE,,Los Angeles,Ascot Avenue Elementary,Elementary Schools (Public),ascotavees.lausd.org,(323) 235-3178,No Data,gustavo.ortiz@lausd.net,Gustavo Ortiz,No Data,No Data,,,,
FALSE,,Los Angeles,Aspire Centennial College Preparatory Academy,Intermediate/Middle Schools (Public),http://aspirepublicschools.org,(323) 826-9616,No Data,kiyo.kanauchi@aspirepublicschools.org,Mike McCoy,No Data,No Data,,,,
FALSE,,Los Angeles,Aspire Firestone Academy Charter,Elementary Schools (Public),www.aspirepublicschools.org/locations/los-angeles/aspire-firestone-academy/,(323) 249-5740,No Data,kiyo.kanauchi@aspirepublicschools.org,Marnie Kislinger,(323) 249-5740,No Data,,,,
FALSE,,Los Angeles,Aspire Gateway Academy Charter,Elementary Schools (Public),https://aspirepublicschools.org/locations/los-angeles/aspire-gateway-academy/,(323) 249-5740,No Data,kiyo.kanauchi@aspirepublicschools.org,David Cabrera,No Data,No Data,,,,
FALSE,,Los Angeles,Aspire Inskeep Academy Charter,Elementary Schools (Public),https://aspirepublicschools.org/locations/los-angeles/aspire-inskeep-academy/,(323) 235-8400,No Data,kiyo.kanauchi@aspirepublicschools.org,Esmeralda Angeles,No Data,No Data,,,,
FALSE,,Los Angeles,Aspire Juanita Tate Academy Charter,Elementary Schools (Public),https://aspirepublicschools.org/locations/los-angeles/aspire-tate-academy/,(323) 235-8400,No Data,kiyo.kanauchi@aspirepublicschools.org,Austin Saddlemire,No Data,No Data,,,,
FALSE,,Los Angeles,Aspire Junior Collegiate Academy,Elementary Schools (Public),https://aspirepublicschools.org/locations/los-angeles/aspire-junior-collegiate-academy/,(323) 583-5421,No Data,kiyo.kanauchi@aspirepublicschools.org,Celinda Guerrero,No Data,No Data,,,,
FALSE,,Los Angeles,Aspire Pacific Academy,K-12 Schools (Public),https://aspirepublicschools.org/locations/los-angeles/aspire-pacific-academy/,(323) 589-2800,No Data,kiyo.kanauchi@aspirepublicschools.org,Jaime Hahn,No Data,No Data,,,,
FALSE,,Los Angeles,Aspire Slauson Academy Charter,Elementary Schools (Public),https://aspirepublicschools.org/locations/los-angeles/aspire-slauson-academy/,(323) 235-8400,No Data,aspireasa@aspirepublicschools.org,Rosalyn Robinson,No Data,No Data,,,,
FALSE,,Los Angeles,Aspire Titan Academy,Elementary Schools (Public),https://aspirepublicschools.org/locations/los-angeles/aspire-titan-academy/,(323) 583-5421,No Data,kiyo.kanauchi@aspirepublicschools.org,Christopher Lopez,No Data,No Data,,,,
FALSE,,Los Angeles,Astra Nova School,Elementary School (Private),astranova.org,(213) 293-8598,No Data,tara@astranova.org,Joshua Dahn,No Data,No Data,,,,
FALSE,,Los Angeles,Atwater Avenue Elementary,Elementary Schools (Public),http://atwateravees.lausd.org,(323) 665-5941,No Data,bfs6582@lausd.net,Bertha Salcedo,No Data,No Data,,,,
FALSE,,Los Angeles,Audubon Middle,Intermediate/Middle Schools (Public),audubonms.org,(323) 290-6300,No Data,dnh2122@lausd.net,Deanna Hardemion,No Data,No Data,,,,
FALSE,,Los Angeles,Augustus Hawkins High,High Schools (Public),www.hawkinshs.org,(323) 789-1282,No Data,lester.malta@lausd.net,Lester Malta,No Data,No Data,,,,
FALSE,,Los Angeles,Aurora Elementary,Elementary Schools (Public),http://auroraes.lausd.org,(323) 238-1500,No Data,svl1524@lausd.net,Silvia Lopez,No Data,No Data,,,,
FALSE,,Los Angeles,Avalon Gardens Elementary,Elementary Schools (Public),http://avalongardenses.lausd.org,(310) 532-8540,No Data,ngates@lausd.net,Nequenta Gates,No Data,No Data,,,,
FALSE,,Los Angeles,"Bais Chana Heritage School, Inc DBA Ohel Chana",High Schools (Private),No Data,(323) 954-0900,No Data,ohelchanafinance@gmail.com,Yehudis Farkash,No Data,No Data,,,,
FALSE,,Los Angeles,Bais Chaya Mushka School of Los Angeles,K-12 Schools (Private),www.bcmla.org,(310) 859-8840,No Data,yblauner@bcmla.org,Yudi Blauner,No Data,No Data,,,,
FALSE,,Los Angeles,Bais Yaakov School for Girls,High Schools (Private),No Data,(323) 938-3231,No Data,nps@cde.ca.gov,Joel Bursztyn,No Data,No Data,,,,
FALSE,,Los Angeles,Balboa Gifted/High Ability Magnet Elementary,Alternative Schools of Choice,balboamagnet.lausd.org,(818) 349-4801,No Data,csc3973@lausd.net,Christine Chun,No Data,No Data,,,,
FALSE,,Los Angeles,Baldwin Hills Elementary,Elementary Schools (Public),www.baldwinhillselementaryschool.com,(323) 937-7223,No Data,kmh2285@lausd.net,Kristen Harris,No Data,No Data,,,,
FALSE,,Los Angeles,Bandini Street Elementary,Elementary Schools (Public),bandinistes.lausd.org,(310) 832-4593,No Data,lxr9325@lausd.net,Lucia Ramos,No Data,No Data,,,,
FALSE,,Los Angeles,Barack Obama Global Preparation Academy,Intermediate/Middle Schools (Public),http://obamaprepacademy.lausd.org,(323) 421-1700,No Data,pch9557@lausd.net,Precious Hoback,No Data,No Data,,,,
FALSE,,Los Angeles,Barton Hill Elementary,Elementary Schools (Public),bartonhilles.lausd.org,(310) 547-2471,No Data,lxm9928@lausd.net,Leanne Malinowsky,No Data,No Data,,,,
